Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
c7b781ae		Auto Highlight Ren'Py Module 2021 Daniel Westfall <SoDaRa2595@gmail.com>	game/00auto-highlight.rpy	1	"[what]"
176f8240		http://twitter.com/sodara9 I'd appreciate being given credit if you do end up using it! :D Would really make my day to know I helped some people out! http://opensource.org/licenses/mit-license.php Github: https://github.com/SoDaRa/Auto-Highlight itch.io: https://wattson.itch.io/renpy-auto-highlight	game/00auto-highlight.rpy	1	"[what]"
f3e37507		Setup (IMPORTANT)	game/00auto-highlight.rpy	31	"[what]"
15d02f4f		General Note	game/00auto-highlight.rpy	58	"[what]"
2fad2a99		Variables	game/00auto-highlight.rpy	64	"[what]"
b9327469		Transforms	game/00auto-highlight.rpy	81	"[what]"
chancho_634109b1	nvle	Chancho corre entre el lodo con otros cerdos. Pero él es más alto. Sus patas tiemblan. Sus ojos no son iguales. Los demás cerdos lo miran, y se alejan.	game/branch.rpy	23	nvle "[what]"
chancho_70cdde4b	ch	¿Ya no quieren lodo? Venga, está muy fresco.	game/branch.rpy	26	ch "[what]"
chancho_f20691d6	nvle	Uno de los cerdos lo empuja. Otro lo ignora. Uno gruñe fuerte, con rechazo. Chancho se aleja, confundido, triste. Cruza un cerco, mira hacia el monte. El cerco no se ve tan alto como antes. Comienza a caminar.	game/branch.rpy	27	nvle "[what]"
chancho_2ef1edec	nvle	Chancho despierta sobresaltado. Se sacude las hojas con movimientos torpes. Huele el aire. Se calma. Escucha un pájaro. Se emociona. Se pone de pie.	game/branch.rpy	30	nvle "[what]"
chancho_96c11e8e	ch	Flores primero. Luego jugar y esperar a mamá. Siempre así.	game/branch.rpy	31	ch "[what]"
chancho_bce2f886	nvle	Chancho se mueve entre las plantas y arbusto, cuidando no hacer ruido. Llega a un jardín. Las plantas están verdes, húmedas.	game/branch.rpy	33	nvle "[what]"
chancho_603bedcc	nvle	Chancho se acerca a unas en particular: hojas grandes, olor fuerte, dulzón. Unas caléndulas. Las lame. Las mastica despacio.	game/branch.rpy	34	nvle "[what]"
chancho_cacf93d0	nvle	Cierra los ojos. Se acuesta en el pasto, satisfecho. Luego, vuelve a mirar hacia la casa.	game/branch.rpy	35	nvle "[what]"
chancho_39e3f244	ch	Está, está!? Ya puedo verla.	game/branch.rpy	36	ch "[what]"
chancho_0f099c7b	nvle	Se acerca a la puerta trasera con pasos cortos. Sube los escalones de madera. Pero se detiene.	game/branch.rpy	37	nvle "[what]"
chancho_717e821d	nvle	Chancho se pega a la puerta. Raspa con una pata. Nadie abre. Solo el silencio vuelve. Chancho se acuesta junto a la puerta. La cabeza sobre el piso. Toma una buena sombra y procede a esperar.	game/branch.rpy	38	nvle "[what]"
chancho_32a7854a	nvle	Chancho, más pequeño, cubierto de lodo. Una figura femenina se acerca. Se agacha. Le deja comida envuelta. Lo observa con ternura.	game/branch.rpy	41	nvle "[what]"
chancho_ae74a7f1	ho	No muerdes, ¿verdad? Yo tampoco.	game/branch.rpy	43	ho "[what]"
chancho_f46e7abe	nvle	Le sonríe. Se va. Chancho se queda mirando. No entiende la emoción que le aprieta el pecho.	game/branch.rpy	44	nvle "[what]"
chancho_4ba9f050	nvle	Chancho despierta sobresaltado. Se pone alerta. Se arrastra hasta la ventana lateral. No alcanza a ver muy bien. Algo está mal, pero no sabe que es.	game/branch.rpy	50	nvle "[what]"
chancho_c0bc849e	nvle	Chancho vuelve al jardín. Come otra flor. La mastica con más lentitud. Luego se acuesta.	game/branch.rpy	51	nvle "[what]"
chancho_9e7721b6	nvle	Mira la puerta cerrada y vuelve a acercarse. Esta vez golpea con más insistencia, raspa más fuerte, emite un chillido agudo.	game/branch.rpy	53	nvle "[what]"
chancho_a19c07d1	nvle	La puerta se abre de golpe. Helena con los ojos rojos y el rostro demacrado mira a Chancho.	game/branch.rpy	54	nvle "[what]"
chancho_6261c654	he	¿Qué...?	game/branch.rpy	60	he "[what]"
chancho_f766a6ca	he	¡Vete de aquí!	game/branch.rpy	62	he "[what]"
